eta,DeltaE_eV,NLL
0.2807216203941177,0.01438449888287663,0.7119567253295223
0.2807216203941177,0.018329807108324356,0.7119567253295223
0.2807216203941177,0.023357214690901212,0.7119567253295223
0.2807216203941177,0.029763514416313176,0.7119567253295223
0.2807216203941177,0.0379269019073225,0.7119567253295223
0.2807216203941177,0.04832930238571752,0.7119567253295223
0.2807216203941177,0.06158482110660261,0.7119567253295223
0.2807216203941177,0.07847599703514611,0.7119567253295223
0.2807216203941177,0.1,0.7119567253295223
0.3562247890262442,0.001,0.7124753066051684
0.3562247890262442,0.0012742749857031334,0.7124753066051684
0.3562247890262442,0.001623776739188721,0.7124753066051684
0.3562247890262442,0.00206913808111479,0.7124753066051684
0.3562247890262442,0.0026366508987303583,0.7124753066051684
0.3562247890262442,0.003359818286283781,0.7124753066051684
0.3562247890262442,0.004281332398719396,0.7124753066051684
0.3562247890262442,0.00545559478116852,0.7124753066051684
0.3562247890262442,0.0069519279617756054,0.7124753066051684
0.3562247890262442,0.008858667904100823,0.7124753066051684
0.3562247890262442,0.011288378916846888,0.7124753066051684
0.3562247890262442,0.01438449888287663,0.7124753066051684
0.3562247890262442,0.018329807108324356,0.7124753066051684
0.3562247890262442,0.023357214690901212,0.7124753066051684
0.3562247890262442,0.029763514416313176,0.7124753066051684
0.3562247890262442,0.0379269019073225,0.7124753066051684
0.3562247890262442,0.04832930238571752,0.7124753066051684
0.3562247890262442,0.06158482110660261,0.7124753066051684
0.3562247890262442,0.07847599703514611,0.7124753066051684
0.3562247890262442,0.1,0.7124753066051684
0.4520353656360243,0.001,0.7131346502308347
0.4520353656360243,0.0012742749857031334,0.7131346502308347
0.4520353656360243,0.001623776739188721,0.7131346502308347
0.4520353656360243,0.00206913808111479,0.7131346502308347
0.4520353656360243,0.0026366508987303583,0.7131346502308347
0.4520353656360243,0.003359818286283781,0.7131346502308347
0.4520353656360243,0.004281332398719396,0.7131346502308347
0.4520353656360243,0.00545559478116852,0.7131346502308347
0.4520353656360243,0.0069519279617756054,0.7131346502308347
0.4520353656360243,0.008858667904100823,0.7131346502308347
0.4520353656360243,0.011288378916846888,0.7131346502308347
0.4520353656360243,0.01438449888287663,0.7131346502308347
0.4520353656360243,0.018329807108324356,0.7131346502308347
0.4520353656360243,0.023357214690901212,0.7131346502308347
0.4520353656360243,0.029763514416313176,0.7131346502308347
0.4520353656360243,0.0379269019073225,0.7131346502308347
0.4520353656360243,0.04832930238571752,0.7131346502308347
0.4520353656360243,0.06158482110660261,0.7131346502308347
0.4520353656360243,0.07847599703514611,0.7131346502308347
0.4520353656360243,0.1,0.7131346502308347
0.5736152510448679,0.001,0.7139734034180707
0.5736152510448679,0.0012742749857031334,0.7139734034180707
0.5736152510448679,0.001623776739188721,0.7139734034180707
0.5736152510448679,0.00206913808111479,0.7139734034180707
0.5736152510448679,0.0026366508987303583,0.7139734034180707
0.5736152510448679,0.003359818286283781,0.7139734034180707
0.5736152510448679,0.004281332398719396,0.7139734034180707
0.5736152510448679,0.00545559478116852,0.7139734034180707
